,start,end,times,silent_length,condition,norm_silentlength
0,32.011869,38.104451,S1,6.092582,A1_beforehelp,0.23416111271725185
1,14.342409,16.608404,S1,2.265995,A1_beforehelp,0.030649950890386975
2,16.825163,24.396487,S1,7.571324,A1_beforehelp,0.3128057384534971
3,46.657472,59.017496,S2,12.360024,A1_beforehelp,0.5674854048612666
4,20.445697,27.63,S1,7.184303,A1_beforehelp,0.29222262003455224
5,49.8527,52.65,S2,2.7973,A1_beforehelp,0.058906592601243764
6,75.34457,80.76,S3,5.41543,A1_beforehelp,0.1981478219562198
7,14.78457,18.81,S1,4.02543,A1_beforehelp,0.12422280341114501
8,27.02984,30.93,S1,3.90016,A1_beforehelp,0.11756051055276981
9,52.976546,66.9,S1,13.923454,A1_beforehelp,0.6506340320151704
10,23.718267,27.35,S1,3.631733,A1_beforehelp,0.10328463216931745
11,33.642018,38.497567,S1,4.855549,A1_beforehelp,0.16837140950439605
12,40.520712,44.18,S2,3.659288,A1_beforehelp,0.10475010259090704
13,71.845246,86.85,S1,15.004754,A1_beforehelp,0.7081413144272493
14,20.557151,24.0,S1,3.442849,A1_beforehelp,0.09323912626797361
15,24.01816,33.09,S1,9.07184,A1_beforehelp,0.3926083809910378
16,40.030267,42.26,S2,2.229733,A1_beforehelp,0.028721412025292353
17,34.220819,36.3,S1,2.079181,A1_beforehelp,0.020714534764862076
18,26.797389,33.08,S1,6.282611,A1_beforehelp,0.24426751368782879
19,24.655976,30.03,S1,5.374024,A1_beforehelp,0.19594570733904187
20,34.14343,36.93,S1,2.78657,A1_beforehelp,0.05833593400484907
21,72.927715,78.96,S2,6.03228499999999,A1_beforehelp,0.23095430923292581
22,19.048404,21.56,S1,2.511596,A1_beforehelp,0.04371186346570272
23,24.152902,29.17,S1,5.017098,A1_beforehelp,0.1769631453467977
24,42.441519,45.99,S2,3.548481,A1_beforehelp,0.09885700220966669
25,81.404226,84.01,S3,2.60577400000001,A1_beforehelp,0.048720575981198264
26,30.877104,46.04,S1,15.162896,A1_beforehelp,0.7165518541990156
27,89.975217,98.71,S2,8.73478299999999,A1_beforehelp,0.374682521296255
28,32.958576,38.12,S1,5.161424,A1_beforehelp,0.18463890234430597
29,88.857923,91.2,S2,2.342077,A1_beforehelp,0.03469625539466494
30,49.664285,54.07,S1,4.405715,A1_beforehelp,0.14444767799921246
31,80.539062,85.76,S2,5.220938,A1_beforehelp,0.1878040631742999
32,24.376522,26.68,S1,2.303478,A1_beforehelp,0.03264342676817477
33,50.892677,55.47,S2,4.577323,A1_beforehelp,0.15357438633193418
34,41.95746,44.18,S1,2.22254,A1_beforehelp,0.02833886335018824
35,88.475513,90.89,S2,2.41448699999999,A1_beforehelp,0.03854727020966359
36,98.378516,100.21,S3,1.83148399999999,A1_beforehelp,0.00754114964359578
37,121.572392,127.25,S4,5.67760800000001,A1_beforehelp,0.21209135685701935
38,69.950671,75.59,S1,5.639329,A1_beforehelp,0.21005554693983397
39,44.361401,47.49,S1,3.128599,A1_beforehelp,0.076526221895463
40,20.285935,23.52,S1,3.234065,A1_beforehelp,0.08213526938170393
41,25.617757,28.814718,S1,3.196961,A1_beforehelp,0.08016195003774962
42,36.386469,39.07,S2,2.683531,A1_beforehelp,0.05285596279199584
43,31.979869,34.83,S1,2.850131,A1_beforehelp,0.061716328324089
44,51.239122,55.08,S2,3.840878,A1_beforehelp,0.11440768828702225
45,96.415145,98.5,S3,2.084855,A1_beforehelp,0.021016297754232402
46,63.322801,65.72,S1,2.397199,A1_beforehelp,0.03762783443944308
47,109.820154,112.69,S2,2.869846,A1_beforehelp,0.06276484036769772
48,89.333365,92.4,S1,3.066635,A1_beforehelp,0.07323076157235006
49,95.402208,98.14,S2,2.737792,A1_beforehelp,0.055741750872049294
50,21.926172,25.38,S1,3.453828,A1_beforehelp,0.09382302754754657
51,33.900297,38.79,S1,4.889703,A1_beforehelp,0.1701878376219417
52,79.635608,81.89,S2,2.254392,A1_beforehelp,0.030032863127668626
53,149.843323,152.55,S3,2.70667700000001,A1_beforehelp,0.05408694730943833
54,166.893769,171.13,S4,4.236231,A1_beforehelp,0.13543393134950496
55,191.566766,193.93,S5,2.36323400000001,A1_beforehelp,0.035821457997081405
56,38.362018,41.6,S,3.237982,A1_beforehelp,0.08234358902029461
57,58.540439,61.06,S2,2.519561,A1_beforehelp,0.04413546977700598
58,1.114231,5.96,S1,4.845769,A1_beforehelp,0.16785127520125154
59,47.387608,49.52,S2,2.132392,A1_beforehelp,0.023544480205007365
60,28.037531,30.81,S1,2.772469,A1_beforehelp,0.0575859939426159
61,53.704024,56.21,S2,2.505976,A1_beforehelp,0.043412972383527676
62,35.583335,41.2,S1,5.61666500000001,A1_beforehelp,0.20885019685328374
63,43.769685,48.94,S2,5.170315,A1_beforehelp,0.18511175654566156
64,16.021365,20.55,S1,4.528635,A1_beforehelp,0.1509849897111266
65,51.551098,54.6,S2,3.048902,A1_beforehelp,0.07228765915950126
66,72.706944,83.4,S1,10.693056,A1_beforehelp,0.4788302679446867
67,85.223858,93.72,S2,8.49614199999999,A1_beforehelp,0.36199076564833044
68,20.139015,23.52,S1,3.380985,A1_beforehelp,0.08994898429151858
69,27.234036,32.15,S1,4.915964,A1_beforehelp,0.17158448863777784
70,21.930311,23.62,S1,1.689689,A1_beforehelp,0.0
71,47.901834,51.61,S2,3.708166,A1_beforehelp,0.1073496040703647
72,120.206982,124.14,S1,3.933018,A1_beforehelp,0.11930801289762887
73,47.413623,49.57,S1,2.156377,A1_beforehelp,0.024820085650909256
74,82.471707,84.84,S2,2.36829300000001,A1_beforehelp,0.03609051315450554
75,53.611692,56.33,S1,2.718308,A1_beforehelp,0.054705524209220355
76,56.913861,65.5,S2,8.586139,A1_beforehelp,0.3667771180900583
77,87.216121,100.165805,S3,12.949684,A1_beforehelp,0.5988455677643522
78,86.974817,91.103924,S1,4.12910700000001,A1_beforehelp,0.12973670567567627
79,119.656263,122.555424,S2,2.89916100000001,A1_beforehelp,0.06432391369046724
80,22.188908,26.24,S1,4.051092,A1_beforehelp,0.12558759753050017
81,35.108298,42.72,S2,7.611702,A1_beforehelp,0.3149531804670317
82,65.408033,82.093165,S3,16.685132,A1_beforehelp,0.7975096416306562
83,73.882738,77.066715,S1,3.183977,A1_beforehelp,0.07947141590768542
84,36.035152,37.917172,S1,1.88202,A1_beforehelp,0.01022882931064229
85,73.398788,76.56,S2,3.16121200000001,A1_beforehelp,0.07826069429101068
86,55.238061,75.730586,S1,20.492525,A1_beforehelp,1.0
87,28.868073,37.263709,S1,8.395636,A1_beforehelp,0.35664550815632284
88,46.563491,48.86,S2,2.296509,A1_beforehelp,0.03227279118958438
89,72.927777,75.97,S1,3.04222299999999,A1_beforehelp,0.07193244678621832
90,46.876774,50.78,S1,3.903226,A1_beforehelp,0.11772357106130162
91,27.221052,29.195636,S1,1.974584,A1_beforehelp,0.015151703711078473
92,18.861799,23.53,S1,4.668201,A1_beforehelp,0.15840759340771784
93,46.044979,51.52,S2,5.47502100000001,A1_beforehelp,0.20131707791314085
94,74.670532,78.85,S3,4.179468,A1_beforehelp,0.13241507823607035
95,30.460772,33.82,S1,3.359228,A1_beforehelp,0.08879187160915512
96,72.529567,77.92,S2,5.390433,A1_beforehelp,0.19681839484213978
97,34.164985,36.983596,S1,2.818611,A1_beforehelp,0.060039985457512914
98,73.369306,77.554516,S2,4.18521000000001,A1_beforehelp,0.1327204577011686
99,23.812178,26.03,S1,2.217822,A1_beforehelp,0.028087943754867617
100,80.156487,82.62,S2,2.46351300000001,A1_beforehelp,0.04115464284217605
101,40.020558,42.75,S1,2.729442,A1_beforehelp,0.05529766892611307
102,68.060439,71.2,S2,3.139561,A1_beforehelp,0.0771092190561041
103,80.933294,83.64,S3,2.706706,A1_beforehelp,0.05408848962996859
104,107.316273,112.924249,S4,5.60797600000001,A1_beforehelp,0.20838808571217712
105,85.304688,89.84,S1,4.53531200000001,A1_beforehelp,0.15134009571747634
106,72.628131,75.259585,S1,2.631454,A1_beforehelp,0.05008632740295135
107,22.576546,25.63,S1,3.053454,A1_beforehelp,0.07252975029936973
108,87.348558,89.34,S2,1.99144200000001,A1_beforehelp,0.016048270590671
109,32.461864,44.07,S1,11.608136,A1_beforehelp,0.5274973945419723
110,99.427893,104.07,S2,4.642107,A1_beforehelp,0.15701982403080048
111,17.071573,19.778042,S1,2.706469,A1_beforehelp,0.05407588514838931
112,70.99276,75.02,S2,4.02723999999999,A1_beforehelp,0.12431906548565282
113,59.125697,61.37,S1,2.24430299999999,A1_beforehelp,0.02949629513335064
114,23.54165,27.41,S1,3.86835,A1_beforehelp,0.11586874448088576
115,34.520593,38.35,S1,3.829407,A1_beforehelp,0.11379762074189233
116,53.241377,55.2,S2,1.958623,A1_beforehelp,0.01430284240100802
117,28.167003,31.13,S1,2.962997,A1_beforehelp,0.06771893346301591
118,79.374932,82.45,S1,3.075068,A1_beforehelp,0.07367925774601236
119,24.568688,28.26,S1,3.691312,A1_beforehelp,0.10645324992463903
120,44.049187,46.59,S2,2.540813,A1_beforehelp,0.04526572480874694
121,73.124558,81.701792,S3,8.577234,A1_beforehelp,0.3663035193201707
122,129.240024,131.856807,S4,2.616783,A1_beforehelp,0.04930607276476803
123,50.845104,53.16,S1,2.314896,A1_beforehelp,0.03325067558957596
124,80.942932,84.57,S1,3.62706799999999,A1_beforehelp,0.103036531297725
125,15.476866,20.08,S1,4.603134,A1_beforehelp,0.15494710478780965
126,63.44,69.2,S1,5.76000000000001,A1_beforehelp,0.21647324903541196
127,22.733056,24.99,S1,2.256944,A1_beforehelp,0.030168587334378702
128,58.160119,60.649139,S2,2.48902,A1_beforehelp,0.04251119352421093
129,34.196985,40.58,S1,6.383015,A1_beforehelp,0.24960734646624588
130,51.47295,58.98,S1,7.50705,A1_beforehelp,0.30938742432258626
131,19.260677,26.84,S1,7.579323,A1_beforehelp,0.313231153002664
132,54.324985,60.039691,S2,5.714706,A1_beforehelp,0.21406435710017363
133,67.6593,69.59,S3,1.9307,A1_beforehelp,0.012817800463717288
134,25.98305,31.86,S1,5.87695,A1_beforehelp,0.22269305545184778
135,63.92781,66.38,S2,2.45218999999999,A1_beforehelp,0.04055244645009881
136,37.902972,42.87,S1,4.967028,A1_beforehelp,0.1743002491751776
137,48.592885,50.43,S1,1.837115,A1_beforehelp,0.007840625743903743
138,68.01581,70.08,S2,2.06419,A1_beforehelp,0.019917261417373423
139,21.63166,24.41,S1,2.77834,A1_beforehelp,0.05789823407490232
140,17.908577,22.05,S1,4.141423,A1_beforehelp,0.13039171325006502
141,35.460653,38.68,S1,3.219347,A1_beforehelp,0.08135251512059138
142,76.240404,80.29,S2,4.04959600000001,A1_beforehelp,0.12550803506449826
143,19.791288,23.41,S1,3.618712,A1_beforehelp,0.1025921302509898
144,40.814718,43.54,S2,2.725282,A1_beforehelp,0.05507642570514363
145,23.614291,31.31,S1,7.695709,A1_beforehelp,0.3194209639439497
146,67.175501,69.97,S2,2.794499,A1_beforehelp,0.05875762571135546
147,24.495763,30.39,S1,5.894237,A1_beforehelp,0.2236124380386023
148,35.27549,37.768783,S1,2.493293,A1_beforehelp,0.04273844647690381
149,72.397864,77.199763,S2,4.80189900000001,A1_beforehelp,0.16551811652242301
150,21.786611,24.63,S1,2.843389,A1_beforehelp,0.06135776539241209
151,62.480546,69.19,S2,6.709454,A1_beforehelp,0.2669685041128902
152,22.478077,30.79,S1,8.311923,A1_beforehelp,0.3521933606185791
153,70.232332,84.32,S2,14.087668,A1_beforehelp,0.6593675017960058
154,85.248807,88.233448,S3,2.984641,A1_beforehelp,0.0688700364136559
155,22.407478,26.46,S1,4.052522,A1_beforehelp,0.12566364988770842
156,27.730801,30.33,S2,2.599199,A1_beforehelp,0.04837089468843956
157,90.867893,97.02,S3,6.152107,A1_beforehelp,0.2373268585653781
158,98.419585,102.628724,S4,4.20913900000001,A1_beforehelp,0.13399308487294206
159,33.510908,35.87,S,2.359092,A1_beforehelp,0.03560117207850986
160,76.040332,79.46,S,3.41966799999999,A1_beforehelp,0.09200628032920087
161,34.727644,37.21,S1,2.482356,A1_beforehelp,0.04215677890292719
162,49.628297,54.53,S2,4.901703,A1_beforehelp,0.170826039220892
163,21.640807,29.12368,S,7.482873,A1_beforehelp,0.3081016076511012
164,19.265496,22.598077,S,3.332581,A1_beforehelp,0.08737469177521943
165,34.800807,38.1,S1,3.299193,A1_beforehelp,0.08559900219307343
166,74.119027,78.05,S2,3.93097299999999,A1_beforehelp,0.11919925270847388
167,16.358148,19.98,S1,3.621852,A1_beforehelp,0.10275912633604846
168,53.121234,56.37,S2,3.248766,A1_beforehelp,0.08291711952388459
