,start,end,times,silent_length,condition,norm_silentlength
0,32.011869,38.104451,S1,6.092582,A1,0.234161112717252
1,14.342409,16.608404,S1,2.265995,A1,0.030649950890387
2,16.825163,24.396487,S1,7.571324,A1,0.312805738453497
3,46.657472,59.017496,S2,12.360024,A1,0.567485404861267
4,20.445697,27.63,S1,7.184303,A1,0.292222620034552
5,49.8527,52.65,S2,2.7973,A1,0.058906592601244
6,75.34457,80.76,S3,5.41543,A1,0.19814782195622
7,14.78457,18.81,S1,4.02543,A1,0.124222803411145
8,27.02984,30.93,S1,3.90016,A1,0.11756051055277
9,52.976546,66.9,S1,13.923454,A1,0.65063403201517
10,23.718267,27.35,S1,3.631733,A1,0.103284632169317
11,33.642018,38.497567,S1,4.855549,A1,0.168371409504396
12,40.520712,44.18,S2,3.659288,A1,0.104750102590907
13,71.845246,86.85,S1,15.004754,A1,0.708141314427249
14,20.557151,24,S1,3.442849,A1,0.093239126267974
15,24.01816,33.09,S1,9.07184,A1,0.392608380991038
16,40.030267,42.26,S2,2.229733,A1,0.028721412025292
17,34.220819,36.3,S1,2.079181,A1,0.020714534764862
18,26.797389,33.08,S1,6.282611,A1,0.244267513687829
19,24.655976,30.03,S1,5.374024,A1,0.195945707339042
20,34.14343,36.93,S1,2.78657,A1,0.058335934004849
21,72.927715,78.96,S2,6.03228499999999,A1,0.230954309232926
22,19.048404,21.56,S1,2.511596,A1,0.043711863465703
23,24.152902,29.17,S1,5.017098,A1,0.176963145346798
24,42.441519,45.99,S2,3.548481,A1,0.098857002209667
25,81.404226,84.01,S3,2.60577400000001,A1,0.048720575981198
26,30.877104,46.04,S1,15.162896,A1,0.716551854199016
27,89.975217,98.71,S2,8.73478299999999,A1,0.374682521296255
28,32.958576,38.12,S1,5.161424,A1,0.184638902344306
29,88.857923,91.2,S2,2.342077,A1,0.034696255394665
30,49.664285,54.07,S1,4.405715,A1,0.144447677999212
31,80.539062,85.76,S2,5.220938,A1,0.1878040631743
32,24.376522,26.68,S1,2.303478,A1,0.032643426768175
33,50.892677,55.47,S2,4.577323,A1,0.153574386331934
34,41.95746,44.18,S1,2.22254,A1,0.028338863350188
35,88.475513,90.89,S2,2.41448699999999,A1,0.038547270209664
36,98.378516,100.21,S3,1.83148399999999,A1,0.007541149643596
37,121.572392,127.25,S4,5.67760800000001,A1,0.212091356857019
38,69.950671,75.59,S1,5.639329,A1,0.210055546939834
39,44.361401,47.49,S1,3.128599,A1,0.076526221895463
40,20.285935,23.52,S1,3.234065,A1,0.082135269381704
41,25.617757,28.814718,S1,3.196961,A1,0.08016195003775
42,36.386469,39.07,S2,2.683531,A1,0.052855962791996
43,31.979869,34.83,S1,2.850131,A1,0.061716328324089
44,51.239122,55.08,S2,3.840878,A1,0.114407688287022
45,96.415145,98.5,S3,2.084855,A1,0.021016297754232
46,63.322801,65.72,S1,2.397199,A1,0.037627834439443
47,109.820154,112.69,S2,2.869846,A1,0.062764840367698
48,89.333365,92.4,S1,3.066635,A1,0.07323076157235
49,95.402208,98.14,S2,2.737792,A1,0.055741750872049
50,21.926172,25.38,S1,3.453828,A1,0.093823027547547
51,33.900297,38.79,S1,4.889703,A1,0.170187837621942
52,79.635608,81.89,S2,2.254392,A1,0.030032863127669
53,149.843323,152.55,S3,2.70667700000001,A1,0.054086947309438
54,166.893769,171.13,S4,4.236231,A1,0.135433931349505
55,191.566766,193.93,S5,2.36323400000001,A1,0.035821457997081
56,38.362018,41.6,S,3.237982,A1,0.082343589020295
57,58.540439,61.06,S2,2.519561,A1,0.044135469777006
58,1.114231,5.96,S1,4.845769,A1,0.167851275201252
59,47.387608,49.52,S2,2.132392,A1,0.023544480205007
60,28.037531,30.81,S1,2.772469,A1,0.057585993942616
61,53.704024,56.21,S2,2.505976,A1,0.043412972383528
62,35.583335,41.2,S1,5.61666500000001,A1,0.208850196853284
63,43.769685,48.94,S2,5.170315,A1,0.185111756545662
64,16.021365,20.55,S1,4.528635,A1,0.150984989711127
65,51.551098,54.6,S2,3.048902,A1,0.072287659159501
66,72.706944,83.4,S1,10.693056,A1,0.478830267944687
67,85.223858,93.72,S2,8.49614199999999,A1,0.36199076564833
68,20.139015,23.52,S1,3.380985,A1,0.089948984291519
69,27.234036,32.15,S1,4.915964,A1,0.171584488637778
70,21.930311,23.62,S1,1.689689,A1,0
71,47.901834,51.61,S2,3.708166,A1,0.107349604070365
72,120.206982,124.14,S1,3.933018,A1,0.119308012897629
73,47.413623,49.57,S1,2.156377,A1,0.024820085650909
74,82.471707,84.84,S2,2.36829300000001,A1,0.036090513154506
75,53.611692,56.33,S1,2.718308,A1,0.05470552420922
76,56.913861,65.5,S2,8.586139,A1,0.366777118090058
77,87.216121,100.165805,S3,12.949684,A1,0.598845567764352
78,86.974817,91.103924,S1,4.12910700000001,A1,0.129736705675676
79,119.656263,122.555424,S2,2.89916100000001,A1,0.064323913690467
80,22.188908,26.24,S1,4.051092,A1,0.1255875975305
81,35.108298,42.72,S2,7.611702,A1,0.314953180467032
82,65.408033,82.093165,S3,16.685132,A1,0.797509641630656
83,73.882738,77.066715,S1,3.183977,A1,0.079471415907686
84,36.035152,37.917172,S1,1.88202,A1,0.010228829310642
85,73.398788,76.56,S2,3.16121200000001,A1,0.078260694291011
86,55.238061,75.730586,S1,20.492525,A1,1
87,28.868073,37.263709,S1,8.395636,A1,0.356645508156323
88,46.563491,48.86,S2,2.296509,A1,0.032272791189584
89,72.927777,75.97,S1,3.04222299999999,A1,0.071932446786218
90,46.876774,50.78,S1,3.903226,A1,0.117723571061302
91,27.221052,29.195636,S1,1.974584,A1,0.015151703711079
92,18.861799,23.53,S1,4.668201,A1,0.158407593407718
