,start,end,times,silent_length,norm_silentlength,condition
0,30.630267,35.01,S1,4.379733,0.314440903362671,A2_B
1,45.967193,48.5,S1,2.532807,0.119064516883174,A2_B
2,90.646789,92.75,S2,2.103211,0.073619862291683,A2_B
3,105.067869,107.74,S3,2.67213099999999,0.13380285489448,A2_B
4,22.247715,26.24,S1,3.992285,0.273454859423332,A2_B
5,46.02108,48.66,S1,2.63892,0.130289641494826,A2_B
6,55.940653,58.93,S1,2.989347,0.167359432588162,A2_B
7,81.337709,85.29,S2,3.952291,0.269224108867619,A2_B
8,103.266445,105.5,S3,2.233555,0.087408254311332,A2_B
9,10.844059,13.35,S1,2.505941,0.116222506970943,A2_B
10,16.298279,19.98,S1,3.681721,0.240601961098971,A2_B
11,35.32038,38.24,S2,2.91962,0.159983387581456,A2_B
12,25.34457,27.72,S1,2.37543,0.102416448917818,A2_B
13,16.357033,20.01,S1,3.652967,0.237560229802302,A2_B
14,8.52273,9.93,S1,1.40727,0,A2_B
15,19.573294,25.31,S1,5.736706,0.457987792241945,A2_B
16,14.912736,17.77,S1,2.857264,0.153387081094181,A2_B
17,12.806433,17.064807,S1,4.258374,0.301602986257836,A2_B
18,2.104641,4.72,S1,2.615359,0.127797249789991,A2_B
19,49.650682,54.36,S1,4.709318,0.349305931164459,A2_B
20,30.96368,38.825282,S1,7.861602,0.682769132763838,A2_B
21,32.645223,35.52,S1,2.874777,0.155239687347174,A2_B
22,10.954682,13.95,S1,2.995318,0.167991072623371,A2_B
23,48.414006,59.274445,S1,10.860439,1,A2_B
24,13.59454,15.67,S1,2.07546,0.070684232980496,A2_B
25,42.643442,45.02,S1,2.376558,0.102535773982249,A2_B
26,20.414243,22.59,S1,2.175757,0.081294114174834,A2_B
27,20.338042,24.3,S1,3.961958,0.270246728901176,A2_B
28,14.514136,16.47,S1,1.955864,0.058032814181149,A2_B
29,21.983169,24.08,S1,2.096831,0.072944956342153,A2_B
30,22.56997,28.02,S1,5.45003,0.427661877196948,A2_B
31,49.322231,54.85,S1,5.527769,0.435885468671934,A2_B
32,11.515442,14.22,S1,2.704558,0.13723313314297,A2_B
33,10.700059,12.7,S1,1.999941,0.062695483387634,A2_B
34,16.372415,19.47,S1,3.097585,0.178809349541937,A2_B
35,5.087098,7.33,S1,2.242902,0.088397023262781,A2_B
36,24.813769,27.02,S1,2.206231,0.084517795037833,A2_B
37,27.070433,30.02,S1,2.949567,0.163151319943608,A2_B
38,8.110813,11.27,S1,3.159187,0.185325894416994,A2_B
39,25.397555,31.32,S1,5.922445,0.477636123928389,A2_B
40,16.913472,19.27,S1,2.356528,0.10041690781155,A2_B
41,17.593211,21.3887,S1,3.795489,0.252636867065425,A2_B
42,0,0,S1,0,0,A2_B
43,0,0,S1,0,0,A2_B
44,0,0,S1,0,0,A2_B
45,0,0,S1,0,0,A2_B
46,0,0,S1,0,0,A2_B
47,0,0,S2,0,0,A2_B
48,0,0,S2,0,0,A2_B
49,0,0,S2,0,0,A2_B
50,0,0,S2,0,0,A2_B
51,0,0,S2,0,0,A2_B
52,0,0,S3,0,0,A2_B
53,0,0,S3,0,0,A2_B
54,0,0,S3,0,0,A2_B
55,0,0,S3,0,0,A2_B
56,0,0,S3,0,0,A2_B
57,0,0,S4,0,0,A2_B
58,0,0,S4,0,0,A2_B
59,0,0,S4,0,0,A2_B
60,0,0,S4,0,0,A2_B
61,0,0,S4,0,0,A2_B
62,0,0,S5,0,0,A2_B
63,0,0,S5,0,0,A2_B
64,0,0,S5,0,0,A2_B
65,0,0,S5,0,0,A2_B
66,0,0,S5,0,0,A2_B
67,0,0,S6,0,0,A2_B
68,0,0,S6,0,0,A2_B
69,0,0,S6,0,0,A2_B
70,0,0,S6,0,0,A2_B
71,0,0,S6,0,0,A2_B
72,0,0,S7,0,0,A2_B
73,0,0,S7,0,0,A2_B
74,0,0,S7,0,0,A2_B
75,0,0,S7,0,0,A2_B
76,0,0,S7,0,0,A2_B
77,0,0,S8,0,0,A2_B
78,0,0,S8,0,0,A2_B
79,0,0,S8,0,0,A2_B
80,0,0,S8,0,0,A2_B
81,0,0,S8,0,0,A2_B
82,0,0,S9,0,0,A2_B
83,0,0,S9,0,0,A2_B
84,0,0,S9,0,0,A2_B
85,0,0,S9,0,0,A2_B
86,0,0,S9,0,0,A2_B
87,0,0,S10,0,0,A2_B
88,0,0,S10,0,0,A2_B
89,0,0,S10,0,0,A2_B
90,0,0,S10,0,0,A2_B
91,0,0,S10,0,0,A2_B
92,0,0,S11,0,0,A2_B
93,0,0,S11,0,0,A2_B
94,0,0,S11,0,0,A2_B
95,0,0,S11,0,0,A2_B
96,0,0,S11,0,0,A2_B
97,0,0,S12,0,0,A2_B
98,0,0,S12,0,0,A2_B
99,0,0,S12,0,0,A2_B
100,0,0,S12,0,0,A2_B
101,0,0,S12,0,0,A2_B
102,0,0,S13,0,0,A2_B
103,0,0,S13,0,0,A2_B
104,0,0,S13,0,0,A2_B
105,0,0,S13,0,0,A2_B
106,0,0,S13,0,0,A2_B
107,0,0,S14,0,0,A2_B
108,0,0,S14,0,0,A2_B
109,0,0,S14,0,0,A2_B
110,0,0,S14,0,0,A2_B
111,0,0,S14,0,0,A2_B
112,0,0,S15,0,0,A2_B
113,0,0,S15,0,0,A2_B
114,0,0,S15,0,0,A2_B
115,0,0,S15,0,0,A2_B
116,0,0,S15,0,0,A2_B
117,0,0,S16,0,0,A2_B
118,0,0,S16,0,0,A2_B
119,0,0,S16,0,0,A2_B
120,0,0,S16,0,0,A2_B
121,0,0,S16,0,0,A2_B
122,0,0,S17,0,0,A2_B
123,0,0,S17,0,0,A2_B
124,0,0,S17,0,0,A2_B
125,0,0,S17,0,0,A2_B
126,0,0,S17,0,0,A2_B
127,0,0,S18,0,0,A2_B
128,0,0,S18,0,0,A2_B
129,0,0,S18,0,0,A2_B
130,0,0,S18,0,0,A2_B
131,0,0,S18,0,0,A2_B
132,0,0,S19,0,0,A2_B
133,0,0,S19,0,0,A2_B
134,0,0,S19,0,0,A2_B
135,0,0,S19,0,0,A2_B
136,0,0,S19,0,0,A2_B
137,0,0,S20,0,0,A2_B
138,0,0,S20,0,0,A2_B
139,0,0,S20,0,0,A2_B
140,0,0,S20,0,0,A2_B
141,0,0,S20,0,0,A2_B
142,0,0,S21,0,0,A2_B
143,0,0,S21,0,0,A2_B
144,0,0,S21,0,0,A2_B
145,0,0,S21,0,0,A2_B
146,0,0,S21,0,0,A2_B
147,0,0,S22,0,0,A2_B
148,0,0,S22,0,0,A2_B
149,0,0,S22,0,0,A2_B
150,0,0,S22,0,0,A2_B
151,0,0,S22,0,0,A2_B
152,0,0,S23,0,0,A2_B
153,0,0,S23,0,0,A2_B
154,0,0,S23,0,0,A2_B
155,0,0,S23,0,0,A2_B
156,0,0,S23,0,0,A2_B
157,0,0,S24,0,0,A2_B
158,0,0,S24,0,0,A2_B
159,0,0,S24,0,0,A2_B
160,0,0,S24,0,0,A2_B
161,0,0,S24,0,0,A2_B
162,0,0,S25,0,0,A2_B
163,0,0,S25,0,0,A2_B
164,0,0,S25,0,0,A2_B
165,0,0,S25,0,0,A2_B
166,0,0,S25,0,0,A2_B
167,0,0,S26,0,0,A2_B
168,0,0,S26,0,0,A2_B
169,0,0,S26,0,0,A2_B
170,0,0,S26,0,0,A2_B
171,0,0,S26,0,0,A2_B
172,0,0,S27,0,0,A2_B
173,0,0,S27,0,0,A2_B
174,0,0,S27,0,0,A2_B
175,0,0,S27,0,0,A2_B
176,0,0,S27,0,0,A2_B
177,0,0,S28,0,0,A2_B
178,0,0,S28,0,0,A2_B
179,0,0,S28,0,0,A2_B
180,0,0,S28,0,0,A2_B
181,0,0,S28,0,0,A2_B
182,0,0,S29,0,0,A2_B
183,0,0,S29,0,0,A2_B
184,0,0,S29,0,0,A2_B
185,0,0,S29,0,0,A2_B
186,0,0,S29,0,0,A2_B
187,0,0,S30,0,0,A2_B
188,0,0,S30,0,0,A2_B
189,0,0,S30,0,0,A2_B
190,0,0,S30,0,0,A2_B
191,0,0,S30,0,0,A2_B
192,0,0,S31,0,0,A2_B
193,0,0,S31,0,0,A2_B
194,0,0,S31,0,0,A2_B
195,0,0,S31,0,0,A2_B
196,0,0,S31,0,0,A2_B
197,0,0,S32,0,0,A2_B
198,0,0,S32,0,0,A2_B
199,0,0,S32,0,0,A2_B
200,0,0,S32,0,0,A2_B
201,0,0,S32,0,0,A2_B
202,0,0,S33,0,0,A2_B
203,0,0,S33,0,0,A2_B
204,0,0,S33,0,0,A2_B
205,0,0,S33,0,0,A2_B
206,0,0,S33,0,0,A2_B
207,0,0,S34,0,0,A2_B
208,0,0,S34,0,0,A2_B
209,0,0,S34,0,0,A2_B
210,0,0,S34,0,0,A2_B
211,0,0,S34,0,0,A2_B
212,0,0,S35,0,0,A2_B
213,0,0,S35,0,0,A2_B
214,0,0,S35,0,0,A2_B
215,0,0,S35,0,0,A2_B
216,0,0,S35,0,0,A2_B
217,0,0,S36,0,0,A2_B
218,0,0,S36,0,0,A2_B
219,0,0,S36,0,0,A2_B
220,0,0,S36,0,0,A2_B
221,0,0,S36,0,0,A2_B
222,0,0,S37,0,0,A2_B
223,0,0,S37,0,0,A2_B
224,0,0,S37,0,0,A2_B
225,0,0,S37,0,0,A2_B
226,0,0,S37,0,0,A2_B
227,0,0,S38,0,0,A2_B
228,0,0,S38,0,0,A2_B
229,0,0,S38,0,0,A2_B
230,0,0,S38,0,0,A2_B
231,0,0,S38,0,0,A2_B
232,0,0,S39,0,0,A2_B
233,0,0,S39,0,0,A2_B
234,0,0,S39,0,0,A2_B
235,0,0,S39,0,0,A2_B
236,0,0,S39,0,0,A2_B
237,0,0,S40,0,0,A2_B
238,0,0,S40,0,0,A2_B
239,0,0,S40,0,0,A2_B
240,0,0,S40,0,0,A2_B
241,0,0,S40,0,0,A2_B
242,0,0,S41,0,0,A2_B
243,0,0,S41,0,0,A2_B
244,0,0,S41,0,0,A2_B
245,0,0,S41,0,0,A2_B
246,0,0,S41,0,0,A2_B
247,0,0,S42,0,0,A2_B
248,0,0,S42,0,0,A2_B
249,0,0,S42,0,0,A2_B
250,0,0,S42,0,0,A2_B
251,0,0,S42,0,0,A2_B
252,0,0,S43,0,0,A2_B
253,0,0,S43,0,0,A2_B
254,0,0,S43,0,0,A2_B
255,0,0,S43,0,0,A2_B
256,0,0,S43,0,0,A2_B
257,0,0,S44,0,0,A2_B
258,0,0,S44,0,0,A2_B
259,0,0,S44,0,0,A2_B
260,0,0,S44,0,0,A2_B
261,0,0,S44,0,0,A2_B
262,0,0,S45,0,0,A2_B
263,0,0,S45,0,0,A2_B
264,0,0,S45,0,0,A2_B
265,0,0,S45,0,0,A2_B
266,0,0,S45,0,0,A2_B
267,0,0,S46,0,0,A2_B
268,0,0,S46,0,0,A2_B
269,0,0,S46,0,0,A2_B
270,0,0,S46,0,0,A2_B
271,0,0,S46,0,0,A2_B
272,0,0,S47,0,0,A2_B
273,0,0,S47,0,0,A2_B
274,0,0,S47,0,0,A2_B
275,0,0,S47,0,0,A2_B
276,0,0,S47,0,0,A2_B
277,0,0,S48,0,0,A2_B
278,0,0,S48,0,0,A2_B
279,0,0,S48,0,0,A2_B
280,0,0,S48,0,0,A2_B
281,0,0,S48,0,0,A2_B
282,0,0,S49,0,0,A2_B
283,0,0,S49,0,0,A2_B
284,0,0,S49,0,0,A2_B
285,0,0,S49,0,0,A2_B
286,0,0,S49,0,0,A2_B
287,0,0,S50,0,0,A2_B
288,0,0,S50,0,0,A2_B
289,0,0,S50,0,0,A2_B
290,0,0,S50,0,0,A2_B
291,0,0,S50,0,0,A2_B
292,0,0,S51,0,0,A2_B
293,0,0,S51,0,0,A2_B
294,0,0,S51,0,0,A2_B
295,0,0,S51,0,0,A2_B
296,0,0,S51,0,0,A2_B
297,0,0,S52,0,0,A2_B
298,0,0,S52,0,0,A2_B
299,0,0,S52,0,0,A2_B
300,0,0,S52,0,0,A2_B
301,0,0,S52,0,0,A2_B
302,0,0,S53,0,0,A2_B
303,0,0,S53,0,0,A2_B
304,0,0,S53,0,0,A2_B
305,0,0,S53,0,0,A2_B
306,0,0,S53,0,0,A2_B
307,0,0,S54,0,0,A2_B
308,0,0,S54,0,0,A2_B
309,0,0,S54,0,0,A2_B
310,0,0,S54,0,0,A2_B
311,0,0,S54,0,0,A2_B
312,0,0,S55,0,0,A2_B
313,0,0,S55,0,0,A2_B
314,0,0,S55,0,0,A2_B
315,0,0,S55,0,0,A2_B
316,0,0,S55,0,0,A2_B
317,0,0,S56,0,0,A2_B
318,0,0,S56,0,0,A2_B
319,0,0,S56,0,0,A2_B
320,0,0,S56,0,0,A2_B
321,0,0,S56,0,0,A2_B
322,0,0,S57,0,0,A2_B
323,0,0,S57,0,0,A2_B
324,0,0,S57,0,0,A2_B
325,0,0,S57,0,0,A2_B
326,0,0,S57,0,0,A2_B
327,0,0,S58,0,0,A2_B
328,0,0,S58,0,0,A2_B
329,0,0,S58,0,0,A2_B
330,0,0,S58,0,0,A2_B
331,0,0,S58,0,0,A2_B
332,0,0,S59,0,0,A2_B
333,0,0,S59,0,0,A2_B
334,0,0,S59,0,0,A2_B
335,0,0,S59,0,0,A2_B
336,0,0,S59,0,0,A2_B
337,0,0,S60,0,0,A2_B
338,0,0,S60,0,0,A2_B
339,0,0,S60,0,0,A2_B
340,0,0,S60,0,0,A2_B
341,0,0,S60,0,0,A2_B
342,0,0,S61,0,0,A2_B
343,0,0,S61,0,0,A2_B
344,0,0,S61,0,0,A2_B
345,0,0,S61,0,0,A2_B
346,0,0,S61,0,0,A2_B
347,0,0,S62,0,0,A2_B
348,0,0,S62,0,0,A2_B
349,0,0,S62,0,0,A2_B
350,0,0,S62,0,0,A2_B
351,0,0,S62,0,0,A2_B
352,0,0,S63,0,0,A2_B
353,0,0,S63,0,0,A2_B
354,0,0,S63,0,0,A2_B
355,0,0,S63,0,0,A2_B
356,0,0,S63,0,0,A2_B
357,0,0,S64,0,0,A2_B
358,0,0,S64,0,0,A2_B
359,0,0,S64,0,0,A2_B
360,0,0,S64,0,0,A2_B
361,0,0,S64,0,0,A2_B
362,0,0,S65,0,0,A2_B
363,0,0,S65,0,0,A2_B
364,0,0,S65,0,0,A2_B
365,0,0,S65,0,0,A2_B
366,0,0,S65,0,0,A2_B
367,0,0,S66,0,0,A2_B
368,0,0,S66,0,0,A2_B
369,0,0,S66,0,0,A2_B
370,0,0,S66,0,0,A2_B
371,0,0,S66,0,0,A2_B
372,0,0,S67,0,0,A2_B
373,0,0,S67,0,0,A2_B
374,0,0,S67,0,0,A2_B
375,0,0,S67,0,0,A2_B
376,0,0,S67,0,0,A2_B
377,0,0,S68,0,0,A2_B
378,0,0,S68,0,0,A2_B
379,0,0,S68,0,0,A2_B
380,0,0,S68,0,0,A2_B
381,0,0,S68,0,0,A2_B
382,0,0,S69,0,0,A2_B
383,0,0,S69,0,0,A2_B
384,0,0,S69,0,0,A2_B
385,0,0,S69,0,0,A2_B
386,0,0,S69,0,0,A2_B
387,0,0,S70,0,0,A2_B
388,0,0,S70,0,0,A2_B
389,0,0,S70,0,0,A2_B
390,0,0,S70,0,0,A2_B
391,0,0,S70,0,0,A2_B
392,0,0,S71,0,0,A2_B
393,0,0,S71,0,0,A2_B
394,0,0,S71,0,0,A2_B
395,0,0,S71,0,0,A2_B
396,0,0,S71,0,0,A2_B
397,0,0,S72,0,0,A2_B
398,0,0,S72,0,0,A2_B
399,0,0,S72,0,0,A2_B
400,0,0,S72,0,0,A2_B
401,0,0,S72,0,0,A2_B
402,0,0,S73,0,0,A2_B
403,0,0,S73,0,0,A2_B
404,0,0,S73,0,0,A2_B
405,0,0,S73,0,0,A2_B
406,0,0,S73,0,0,A2_B
407,0,0,S74,0,0,A2_B
408,0,0,S74,0,0,A2_B
409,0,0,S74,0,0,A2_B
410,0,0,S74,0,0,A2_B
411,0,0,S74,0,0,A2_B
412,0,0,S75,0,0,A2_B
413,0,0,S75,0,0,A2_B
414,0,0,S75,0,0,A2_B
415,0,0,S75,0,0,A2_B
416,0,0,S75,0,0,A2_B
417,0,0,S76,0,0,A2_B
418,0,0,S76,0,0,A2_B
419,0,0,S76,0,0,A2_B
420,0,0,S76,0,0,A2_B
421,0,0,S76,0,0,A2_B
422,0,0,S77,0,0,A2_B
423,0,0,S77,0,0,A2_B
424,0,0,S77,0,0,A2_B
425,0,0,S77,0,0,A2_B
426,0,0,S77,0,0,A2_B
427,0,0,S78,0,0,A2_B
428,0,0,S78,0,0,A2_B
429,0,0,S78,0,0,A2_B
430,0,0,S78,0,0,A2_B
431,0,0,S78,0,0,A2_B
432,0,0,S79,0,0,A2_B
433,0,0,S79,0,0,A2_B
434,0,0,S79,0,0,A2_B
435,0,0,S79,0,0,A2_B
436,0,0,S79,0,0,A2_B
437,0,0,S80,0,0,A2_B
438,0,0,S80,0,0,A2_B
439,0,0,S80,0,0,A2_B
440,0,0,S80,0,0,A2_B
441,0,0,S80,0,0,A2_B
442,0,0,S81,0,0,A2_B
443,0,0,S81,0,0,A2_B
444,0,0,S81,0,0,A2_B
445,0,0,S81,0,0,A2_B
446,0,0,S81,0,0,A2_B
447,0,0,S82,0,0,A2_B
448,0,0,S82,0,0,A2_B
449,0,0,S82,0,0,A2_B
450,0,0,S82,0,0,A2_B
451,0,0,S82,0,0,A2_B
452,0,0,S83,0,0,A2_B
453,0,0,S83,0,0,A2_B
454,0,0,S83,0,0,A2_B
455,0,0,S83,0,0,A2_B
456,0,0,S83,0,0,A2_B
457,0,0,S84,0,0,A2_B
458,0,0,S84,0,0,A2_B
459,0,0,S84,0,0,A2_B
460,0,0,S84,0,0,A2_B
461,0,0,S84,0,0,A2_B
462,0,0,S85,0,0,A2_B
463,0,0,S85,0,0,A2_B
464,0,0,S85,0,0,A2_B
465,0,0,S85,0,0,A2_B
466,0,0,S85,0,0,A2_B
467,0,0,S86,0,0,A2_B
468,0,0,S86,0,0,A2_B
469,0,0,S86,0,0,A2_B
470,0,0,S86,0,0,A2_B
471,0,0,S86,0,0,A2_B
472,0,0,S87,0,0,A2_B
473,0,0,S87,0,0,A2_B
474,0,0,S87,0,0,A2_B
475,0,0,S87,0,0,A2_B
476,0,0,S87,0,0,A2_B
477,0,0,S88,0,0,A2_B
478,0,0,S88,0,0,A2_B
479,0,0,S88,0,0,A2_B
480,0,0,S88,0,0,A2_B
481,0,0,S88,0,0,A2_B
482,0,0,S89,0,0,A2_B
483,0,0,S89,0,0,A2_B
484,0,0,S89,0,0,A2_B
485,0,0,S89,0,0,A2_B
486,0,0,S89,0,0,A2_B
487,0,0,S90,0,0,A2_B
488,0,0,S90,0,0,A2_B
489,0,0,S90,0,0,A2_B
490,0,0,S90,0,0,A2_B
491,0,0,S90,0,0,A2_B
492,0,0,S91,0,0,A2_B
493,0,0,S91,0,0,A2_B
494,0,0,S91,0,0,A2_B
495,0,0,S91,0,0,A2_B
