,start,end,times,silent_length,norm_silentlength,condition
0,23.915798,26.33,S1,2.414202,0.043814709767305,B
1,15.902671,22.04,S1,6.137329,0.22605060081951,B
2,22.309128,24.26,S1,1.950872,0.021136097030963,B
3,22.146659,33.74,S1,11.593341,0.493106011073182,B
4,59.057757,61.48,S2,2.42224299999999,0.044208292580878,B
5,29.182315,39.13,S1,9.947685,0.412556089589062,B
6,61.927145,70.76,S2,8.832855,0.35798850744058,B
7,22.883418,26.63,S1,3.746582,0.109030711402526,B
8,47.92565,58.78,S2,10.85435,0.456934619830133,B
9,87.431929,99.51,S3,12.078071,0.51683208957379,B
10,39.610113,41.92,S1,2.309887,0.038708803636488,B
11,67.295715,69.53,S2,2.234285,0.035008312668726,B
12,99.025282,101.95,S3,2.924718,0.068802935566857,B
13,21.781009,24.84,S1,3.058991,0.075375195873651,B
14,48.769139,59.45,S1,10.680861,0.448442854036821,B
15,14.943027,17.61,S1,2.666973,0.056187091482234,B
16,31.622552,34.31,S2,2.687448,0.057189281273045,B
17,26.435608,28.47,S1,2.034392,0.025224150331503,B
18,19.574315,22.47632,S1,2.902005,0.067691202393783,B
19,23.216047,25.947347,S2,2.7313,0.059335705043822,B
20,47.001116,50.44,S3,3.43888399999999,0.093969817910313,B
21,19.751691,22.2,S1,2.448309,0.045484145039354,B
22,23.018564,26.33,S1,3.311436,0.087731620867123,B
23,20.725175,24.98,S1,4.254825,0.133907680674873,B
24,49.300795,53.62,S2,4.319205,0.137058888427373,B
25,22.680499,25.86,S1,3.179501,0.081273798642426,B
26,50.186635,52.46,S2,2.273365,0.036921161363471,B
27,11.369306,13.52,S1,2.150694,0.030916784131305,B
28,28.759739,30.601496,S2,1.841757,0.015795245308161,B
29,13.890944,15.41,S1,1.519056,0,B
30,11.48197,14.77,S1,3.28803,0.086585967424206,B
31,14.415549,16.79,S1,2.374451,0.04186901763668,B
32,63.588297,66.83,S1,3.241703,0.084318399832562,B
33,13.080309,17.31,S1,4.229691,0.132677446818841,B
34,26.276083,33.7,S1,7.423917,0.289025221507194,B
35,48.227561,50.6,S2,2.372439,0.04177053627604,B
36,9.922588,12.94,S1,3.017412,0.073340028630078,B
37,13.01968,15.18,S1,2.16032,0.031387947937232,B
38,21.251751,24.76,S1,3.508249,0.09736502644949,B
39,22.096095,27.19,S1,5.093905,0.174978128033796,B
40,40.207335,50.64,S1,10.432665,0.436294404839253,B
41,22.531988,24.87,S1,2.338012,0.040085437964526,B
42,27.238742,31.21,S1,3.971258,0.120027927199367,B
43,20.792285,24.219585,S1,3.4273,0.093402815881656,B
44,18.170682,40.12,S1,21.949318,1,B
45,19.551525,21.94,S1,2.388475,0.042555450341263,B
46,11.424902,13.64,S1,2.215098,0.034069166611765,B
47,23.396795,26.68,S1,3.283205,0.086349798157263,B
48,48.618872,51.87,S2,3.25112799999999,0.084779725291824,B
49,25.430528,28.25,S1,2.819472,0.063651459780594,B
50,65.981911,70.7,S2,4.71808900000001,0.156583062909326,B
51,13.196534,15.34,S1,2.143466,0.030562995227374,B
52,36.120783,40.8,S1,4.67921699999999,0.154680395190233,B
53,20.399098,26.23,S1,5.830902,0.211051918962175,B
54,49.87105,53.73,S2,3.85895,0.114530787710897,B
55,20.210849,22.59,S1,2.379151,0.042099068528832,B
56,20.60743,23.44,S1,2.83257,0.064292567564723,B
57,45.597436,54.24,S2,8.642564,0.348674334181324,B
58,74.037555,85.46,S3,11.422445,0.48474116484654,B
59,0,0,S,0,0,B
60,0,0,S,0,0,B
61,0,0,S,0,0,B
62,0,0,S,0,0,B
63,0,0,S,0,0,B
64,0,0,S,0,0,B
65,0,0,S,0,0,B
66,0,0,S,0,0,B
67,0,0,S,0,0,B
68,0,0,S,0,0,B
69,0,0,S,0,0,B
70,0,0,S,0,0,B
71,0,0,S,0,0,B
72,0,0,S,0,0,B
73,0,0,S,0,0,B
74,0,0,S,0,0,B
75,0,0,S,0,0,B
76,0,0,S,0,0,B
77,0,0,S,0,0,B
78,0,0,S,0,0,B
79,0,0,S,0,0,B
80,0,0,S,0,0,B
81,0,0,S,0,0,B
82,0,0,S,0,0,B
83,0,0,S,0,0,B
84,0,0,S,0,0,B
85,0,0,S,0,0,B
86,0,0,S,0,0,B
87,0,0,S,0,0,B
88,0,0,S,0,0,B
89,0,0,S,0,0,B
90,0,0,S,0,0,B
91,0,0,S,0,0,B
92,0,0,S,0,0,B
93,0,0,S,0,0,B
94,0,0,S,0,0,B
95,0,0,S,0,0,B
96,0,0,S,0,0,B
97,0,0,S,0,0,B
98,0,0,S,0,0,B
99,0,0,S,0,0,B
100,0,0,S,0,0,B
101,0,0,S,0,0,B
102,0,0,S,0,0,B
103,0,0,S,0,0,B
104,0,0,S,0,0,B
105,0,0,S,0,0,B
106,0,0,S,0,0,B
107,0,0,S,0,0,B
108,0,0,S,0,0,B
109,0,0,S,0,0,B
110,0,0,S,0,0,B
111,0,0,S,0,0,B
112,0,0,S,0,0,B
113,0,0,S,0,0,B
114,0,0,S,0,0,B
115,0,0,S,0,0,B
116,0,0,S,0,0,B
117,0,0,S,0,0,B
118,0,0,S,0,0,B
119,0,0,S,0,0,B
120,0,0,S,0,0,B
121,0,0,S,0,0,B
122,0,0,S,0,0,B
123,0,0,S,0,0,B
124,0,0,S,0,0,B
125,0,0,S,0,0,B
126,0,0,S,0,0,B
127,0,0,S,0,0,B
128,0,0,S,0,0,B
129,0,0,S,0,0,B
130,0,0,S,0,0,B
131,0,0,S,0,0,B
132,0,0,S,0,0,B
133,0,0,S,0,0,B
134,0,0,S,0,0,B
135,0,0,S,0,0,B
136,0,0,S,0,0,B
137,0,0,S,0,0,B
138,0,0,S,0,0,B
139,0,0,S,0,0,B
140,0,0,S,0,0,B
141,0,0,S,0,0,B
142,0,0,S,0,0,B
143,0,0,S,0,0,B
144,0,0,S,0,0,B
145,0,0,S,0,0,B
146,0,0,S,0,0,B
147,0,0,S,0,0,B
148,0,0,S,0,0,B
149,0,0,S,0,0,B
150,0,0,S,0,0,B
151,0,0,S,0,0,B
152,0,0,S,0,0,B
153,0,0,S,0,0,B
154,0,0,S,0,0,B
155,0,0,S,0,0,B
156,0,0,S,0,0,B
157,0,0,S,0,0,B
158,0,0,S,0,0,B
159,0,0,S,0,0,B
160,0,0,S,0,0,B
161,0,0,S,0,0,B
162,0,0,S,0,0,B
163,0,0,S,0,0,B
164,0,0,S,0,0,B
165,0,0,S,0,0,B
166,0,0,S,0,0,B
167,0,0,S,0,0,B
168,0,0,S,0,0,B
169,0,0,S,0,0,B
170,0,0,S,0,0,B
171,0,0,S,0,0,B
172,0,0,S,0,0,B
173,0,0,S,0,0,B
174,0,0,S,0,0,B
175,0,0,S,0,0,B
176,0,0,S,0,0,B
177,0,0,S,0,0,B
178,0,0,S,0,0,B
179,0,0,S,0,0,B
180,0,0,S,0,0,B
181,0,0,S,0,0,B
182,0,0,S,0,0,B
183,0,0,S,0,0,B
184,0,0,S,0,0,B
185,0,0,S,0,0,B
186,0,0,S,0,0,B
187,0,0,S,0,0,B
188,0,0,S,0,0,B
189,0,0,S,0,0,B
190,0,0,S,0,0,B
191,0,0,S,0,0,B
192,0,0,S,0,0,B
193,0,0,S,0,0,B
194,0,0,S,0,0,B
195,0,0,S,0,0,B
196,0,0,S,0,0,B
197,0,0,S,0,0,B
198,0,0,S,0,0,B
199,0,0,S,0,0,B
200,0,0,S,0,0,B
201,0,0,S,0,0,B
202,0,0,S,0,0,B
203,0,0,S,0,0,B
204,0,0,S,0,0,B
205,0,0,S,0,0,B
206,0,0,S,0,0,B
207,0,0,S,0,0,B
208,0,0,S,0,0,B
209,0,0,S,0,0,B
210,0,0,S,0,0,B
211,0,0,S,0,0,B
212,0,0,S,0,0,B
213,0,0,S,0,0,B
214,0,0,S,0,0,B
215,0,0,S,0,0,B
216,0,0,S,0,0,B
217,0,0,S,0,0,B
218,0,0,S,0,0,B
219,0,0,S,0,0,B
220,0,0,S,0,0,B
221,30.630267,35.01,S1,4.379733,0.314440903362671,B
222,45.967193,48.5,S1,2.532807,0.119064516883174,B
223,90.646789,92.75,S2,2.103211,0.073619862291683,B
224,105.067869,107.74,S3,2.67213099999999,0.13380285489448,B
225,22.247715,26.24,S1,3.992285,0.273454859423332,B
226,46.02108,48.66,S1,2.63892,0.130289641494826,B
227,55.940653,58.93,S1,2.989347,0.167359432588162,B
228,81.337709,85.29,S2,3.952291,0.269224108867619,B
229,103.266445,105.5,S3,2.233555,0.087408254311332,B
230,10.844059,13.35,S1,2.505941,0.116222506970943,B
231,16.298279,19.98,S1,3.681721,0.240601961098971,B
232,35.32038,38.24,S2,2.91962,0.159983387581456,B
233,25.34457,27.72,S1,2.37543,0.102416448917818,B
234,16.357033,20.01,S1,3.652967,0.237560229802302,B
235,8.52273,9.93,S1,1.40727,0,B
236,19.573294,25.31,S1,5.736706,0.457987792241945,B
237,14.912736,17.77,S1,2.857264,0.153387081094181,B
238,12.806433,17.064807,S1,4.258374,0.301602986257836,B
239,2.104641,4.72,S1,2.615359,0.127797249789991,B
240,49.650682,54.36,S1,4.709318,0.349305931164459,B
241,30.96368,38.825282,S1,7.861602,0.682769132763838,B
242,32.645223,35.52,S1,2.874777,0.155239687347174,B
243,10.954682,13.95,S1,2.995318,0.167991072623371,B
244,48.414006,59.274445,S1,10.860439,1,B
245,13.59454,15.67,S1,2.07546,0.070684232980496,B
246,42.643442,45.02,S1,2.376558,0.102535773982249,B
247,20.414243,22.59,S1,2.175757,0.081294114174834,B
248,20.338042,24.3,S1,3.961958,0.270246728901176,B
249,14.514136,16.47,S1,1.955864,0.058032814181149,B
250,21.983169,24.08,S1,2.096831,0.072944956342153,B
251,22.56997,28.02,S1,5.45003,0.427661877196948,B
252,49.322231,54.85,S1,5.527769,0.435885468671934,B
253,11.515442,14.22,S1,2.704558,0.13723313314297,B
254,10.700059,12.7,S1,1.999941,0.062695483387634,B
255,16.372415,19.47,S1,3.097585,0.178809349541937,B
256,5.087098,7.33,S1,2.242902,0.088397023262781,B
257,24.813769,27.02,S1,2.206231,0.084517795037833,B
258,27.070433,30.02,S1,2.949567,0.163151319943608,B
259,8.110813,11.27,S1,3.159187,0.185325894416994,B
260,25.397555,31.32,S1,5.922445,0.477636123928389,B
261,16.913472,19.27,S1,2.356528,0.10041690781155,B
262,17.593211,21.3887,S1,3.795489,0.252636867065425,B
263,0,0,S1,0,0,B
264,0,0,S1,0,0,B
265,0,0,S1,0,0,B
266,0,0,S1,0,0,B
267,0,0,S1,0,0,B
268,0,0,S2,0,0,B
269,0,0,S2,0,0,B
270,0,0,S2,0,0,B
271,0,0,S2,0,0,B
272,0,0,S2,0,0,B
273,0,0,S3,0,0,B
274,0,0,S3,0,0,B
275,0,0,S3,0,0,B
276,0,0,S3,0,0,B
277,0,0,S3,0,0,B
278,0,0,S4,0,0,B
279,0,0,S4,0,0,B
280,0,0,S4,0,0,B
281,0,0,S4,0,0,B
282,0,0,S4,0,0,B
283,0,0,S5,0,0,B
284,0,0,S5,0,0,B
285,0,0,S5,0,0,B
286,0,0,S5,0,0,B
287,0,0,S5,0,0,B
288,0,0,S6,0,0,B
289,0,0,S6,0,0,B
