,start,end,times,silent_length,norm_silentlength,condition
0,63.853745,66.6,S1,2.74625499999999,0.033269385436351,A2
1,104.591976,106.92,S2,2.328024,0.02198330842233,A2
2,29.848309,34.47,S1,4.621691,0.083878534760214,A2
3,71.635941,74.92,S2,3.284059,0.04778217229923,A2
4,64.572653,67.54,S1,2.967347,0.039235613045457,A2
5,122.848546,127.06,S2,4.211454,0.072808178005212,A2
6,17.603917,21.59,S1,3.986083,0.066726480420081,A2
7,55.597982,58.26,S2,2.662018,0.030996227135245,A2
8,105.623501,107.53,S3,1.906499,0.010608341924544,A2
9,24.246694,27.05,S1,2.803306,0.034808922151054,A2
10,105.069009,109.52,S2,4.450991,0.079272148944018,A2
11,50.334243,53.1,S1,2.765757,0.033795652197848,A2
12,99.966148,103.33,S,3.36385199999999,0.049935408054542,A2
13,116.683145,120.66,S1,3.976855,0.066477460336239,A2
14,13.844843,24.42,S1,10.575157,0.244534430129897,A2
15,41.959217,45.91,S2,3.95078299999999,0.065773900342098,A2
16,57.927501,64.23,S3,6.302499,0.129235594695473,A2
17,20.500653,27.49,S1,6.989347,0.147770374338604,A2
18,48.037033,51.312285,S2,3.275252,0.047544513014619,A2
19,25.330326,27.69,S1,2.359674,0.022837392259955,A2
20,52.771513,61.01,S2,8.238487,0.181478756168968,A2
21,25.082706,28.98,S1,3.897294,0.064330485163876,A2
22,31.830101,37.6,S2,5.769899,0.1148632391846,A2
23,70.114231,72.754516,S3,2.64028499999999,0.030409756233409,A2
24,117.786042,121.599786,S4,3.813744,0.062075865744173,A2
25,129.520641,137.78,S5,8.25935899999999,0.182041992752188,A2
26,149.322777,153.27,S6,3.94722300000001,0.06567783277616,A2
27,173.232024,175.86,S7,2.62797600000002,0.030077594528597,A2
28,227.211181,231.91,S8,4.69881899999999,0.085959854767428,A2
29,16.339941,19.17,S1,2.830059,0.035530859114972,A2
30,36.084036,39.2,S2,3.11596400000001,0.043246083114852,A2
31,84.252819,87.19,S3,2.937181,0.038421575350487,A2
32,121.953828,125.24,S4,3.28617199999999,0.047839192177553,A2
33,138.208665,144.78,S5,6.57133500000001,0.136490207099005,A2
34,153.697567,155.86,S6,2.16243300000002,0.017514790357364,A2
35,157.016617,158.53,S7,1.513383,0,A2
36,159.399525,163.78,S8,4.38047499999999,0.077369255550843,A2
37,164.590861,171.34,S9,6.74913900000001,0.141288296282736,A2
38,43.674018,46.810184,S1,3.136166,0.04379123956628,A2
39,92.110362,94.92,S2,2.80963800000001,0.034979792889122,A2
40,120.219703,125.36,S3,5.140297,0.097873258384081,A2
41,135.900534,147.8,S4,11.899466,0.280271267820938,A2
42,173.30222,178.52,S5,5.21778000000001,0.099964158162619,A2
43,184.10457,186.31,S6,2.20543000000001,0.018675076068782,A2
44,20.569614,24.94,S1,4.370386,0.077097001148385,A2
45,33.251632,39.84,S2,6.588368,0.136949847225585,A2
46,70.988368,84.77,S3,13.781632,0.331062028020858,A2
47,87.382196,89.76,S4,2.37780400000001,0.023326635229186,A2
48,90.398042,92.39,S5,1.991958,0.012914476227217,A2
49,93.181899,96.5,S6,3.318101,0.048700804905879,A2
50,60.73835,64.44,S1,3.70165,0.0590509787396,A2
51,65.460059,68.95,S2,3.489941,0.053337953931393,A2
52,70.28908,74.51,S3,4.22092000000001,0.073063620583631,A2
53,34.842386,43.74,S1,8.897614,0.199265477105534,A2
54,61.141329,63.34,S2,2.198671,0.018492682619855,A2
55,77.782469,79.92,S3,2.137531,0.01684280313068,A2
56,82.462789,84.35,S4,1.88721099999999,0.010087850011112,A2
57,108.390279,110.49,S5,2.09972099999999,0.015822490021656,A2
58,43.983917,49.15,S1,5.166083,0.098569100590621,A2
59,67.435727,71.8,S2,4.364273,0.076932040184739,A2
60,83.070267,86.178338,S3,3.108071,0.043033088368236,A2
61,40.034184,42.18,S1,2.145816,0.017066376103657,A2
62,49.666469,56,S2,6.333531,0.130073001635415,A2
63,78.11181,81.83,S3,3.71818999999999,0.059497315127414,A2
64,88.270861,92.06,S4,3.78913900000001,0.061411893143075,A2
65,126.12273,130.46,S5,4.33727,0.076203356902989,A2
66,65.122374,67.56,S1,2.43762600000001,0.024940948130747,A2
67,25.412938,29.13,S1,3.717062,0.059466875741353,A2
68,34.191953,37.27,S2,3.078047,0.042222882581795,A2
69,59.142837,61.17,S3,2.027163,0.013864492704424,A2
70,96.415145,99.495501,S4,3.08035600000001,0.042285191573299,A2
71,115.359335,118.47,S5,3.110665,0.043103088162069,A2
