scores,emotion_index,filename,norm_scores,condition
0,0,01_face_A11_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0,0,01_face_A12_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0,0,01_face_A13_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0,0,01_face_A14_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0,0,03_face_A11_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0.1,0,03_face_A12_nohelp_BA1_trim_user.wav,0.0625,A1_beforehelp
0.2,0,03_face_A13_nohelp_BA1_trim_user.wav,0.125,A1_beforehelp
0,0,03_face_A14_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0,0,05_face_A11_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0,0,05_face_A12_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0,0,05_face_A14_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0.7,1,06_face_A11_nohelp_BA1_trim_user.wav,0.4375,A1_beforehelp
0.8,1,06_face_A12_nohelp_BA1_trim_user.wav,0.5,A1_beforehelp
0,0,06_face_A13_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0,0,06_face_A14_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0,0,08_face_A11_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0.1,0,08_face_A12_nohelp_BA1_trim_user.wav,0.0625,A1_beforehelp
0.3,0,08_face_A13_nohelp_BA1_trim_user.wav,0.1875,A1_beforehelp
0,0,08_face_A14_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0.8,1,11_face_A11_nohelp_BA1_trim_user.wav,0.5,A1_beforehelp
1.3,1,11_face_A12_nohelp_BA1_trim_user.wav,0.8125,A1_beforehelp
0.1,0,11_face_A13_nohelp_BA1_trim_user.wav,0.0625,A1_beforehelp
0,0,11_face_A14_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0.3,0,12_face_A11_nohelp_BA1_trim_user.wav,0.1875,A1_beforehelp
0.1,0,12_face_A12_nohelp_BA1_trim_user.wav,0.0625,A1_beforehelp
0,0,12_face_A13_nohelp_BA1_trim_user.wav,0,A1_beforehelp
0.4,0,12_face_A14_nohelp_BA1_trim_user.wav,0.25,A1_beforehelp
0.4,0,13_face_A11_nohelp_BA1_trim_user.wav,0.25,A1_beforehelp
0.9,1,13_face_A12_nohelp_BA1_trim_user.wav,0.5625,A1_beforehelp
0.2,0,13_face_A13_nohelp_BA1_trim_user.wav,0.125,A1_beforehelp
0.3,0,13_face_A14_nohelp_BA1_trim_user.wav,0.1875,A1_beforehelp
